4-2-4 defence,4-2-4 防守，4-2-4 阵式,,,,,,,,,,,,,,,,,,,,
actual playing time,实际比赛时间,,,,,,,,,,,,,,,,,,,,
adjust one's position,调整位置,这是比较正规的用法。向……提出警告通常用 give sb. a acution. 或 caution sb.,The referee stops the game to administer the caution.,裁判员为了提出警告而暂停比赛。,,,,,,,,,,,,,,,,,
AFC,AFC 亚洲足球联合会的缩写,全称 abbreviation for Asian Football Confederation,,,,,,,,,,,,,,,,,,,
agent fee,经纪人费,,,,,,,,,,,,,,,,,,,,
aggregate score,总分,,,,,,,,,,,,,,,,,,,,
aggressive play,凶狠积极或主动积极的打法,,,,,,,,,,,,,,,,,,,,
aggressive player,拼抢凶狠积极的队员，风格凶狠的队员,,,,,,,,,,,,,,,,,,,,
air ball,空中球,,,,,,,,,,,,,,,,,,,,
all-out attacking game,全攻型打法,,,,,,,,,,,,,,,,,,,,
amateur football player,业余足球运动员,,,,,,,,,,,,,,,,,,,,
anchor man,防守型后腰；挑水工；锚人,FM 的定义：,主要任务是坐镇防线和中场之间，拦截对方传球，抢断并把球交给更有创造性的队友，主要工作是防守，很少冒险前插到过远的位置去跑位或助攻,,,,,,,,,,,,,,,,,,
angled cross,斜线传中,,,,,,,,,,,,,,,,,,,,
angled pass,斜线传球,,,,,,,,,,,,,,,,,,,,
angled shot,小角度射门,to make an angled shot,进行小角度射门,,,,,,,,,,,,,,,,,,
ankle pads,护踝,,,,,,,,,,,,,,,,,,,,
anticipate,预见，预料,to anticipate their moves,预见到（预料到）对方的行动,,,,,,,,,,,,,,,,,,
appeal,上诉，申诉,1. 作动词：,The team appealed against the decision.,这个队员对判决（决议）提出上诉。,2. 作名词：,to make an appeal / to lodge an appeal,提出上诉，提出申诉,Board of Appeal,上诉委员会,An appeal may be lodged with the Board of Appeal within a period of five days.,上诉可在 5 天内向上诉委员会提出。,"If the appeal is sustained, the fee shall be refunded to the Association making the appeal.",如果上诉被认可，手续费将归还上诉的协会。,,,,,,,,
Asian Football Confederation (Abbreviation: AFC),亚洲足球联合会（缩写为：AFC）,,,,,,,,,,,,,,,,,,,,
assist,助攻,"Although the player didn't find the net himself, he made four assists.",虽然这个球员本身没有破门得分，但他进行了四次有效助攻。,,,,,,,,,,,,,,,,,,
assistant coach,助理教练,,,,,,,,,,,,,,,,,,,,
association football,英式足球,,,,,,,,,,,,,,,,,,,,
attack,进攻,1. 作名词,to launch an attack,发动进攻,to initiate an attack against (on)......,向......发动进攻,They start a quick attack.,他们开始（发动）快速进攻,They launched direct attacks through the middle.,他们通过中路多次发动直接进攻。,Spain started out with a furious attack and pinned their opponents down for the first few minutes.,西班牙队一开始就展开猛烈攻势，在开场几分钟内将对手压制住。,Their tactics were clear and simple: from a strengthened defensive position they would launch quick attacks to surprise and defeat their opponents.,他们的战术简单明了，先加强防御，然后快速发动进攻，出其不意，击败对手。,"Attack after rolled towards the Polish goal, but the East Europeans' defence was well organized and resisted the Spanish pressure.",尽管波兰队的大门遭到对方轮番攻击，但是他们防守严密，顶住了西班牙队的压力。,2. 作动词,attack at the first opportunity,一有机会就发动进攻（主动积极进攻）,The team attacked their opponents' goal.,这个队进攻对方球门。
attack down the flanks,从两翼进攻；从两侧进攻,,,,,,,,,,,,,,,,,,,,
attack down the wings,从两翼进攻,,,,,,,,,,,,,,,,,,,,
attack-oriented,以进攻为主的，进攻型的,attack-oriented players / team,进攻型的队员 / 队,Spain is an attack-oriented team.,西拔牙是一支进攻型的球队。,,,,,,,,,,,,,,,,
attacker,进攻型球员；攻击手,,,,,,,,,,,,,,,,,,,,
attacking football,攻势足球，进攻型足球,All four teams played positive attacking football.,这四个队都打积极主动的攻势足球。,This victory restored one's belief in attacking football.,这次胜利使人们恢复了对攻势足球的信心。,This match was an impressive demonstration of modern attacking football.,这场比赛是一次扣人心弦的现代进攻足球的示范表演。,,,,,,,,,,,,,,
attacking play,进攻型打法,"No blocking tactics were considered from the first minute, attacking play was the dominant factor.",一开场双方均不考虑采用堵截的打法，进攻型的打法在这场比赛中起到了主导作用。,Attacking play is concerned eith advancing the ball upfield and scoring goals.,进攻型打法是将球堆向前场破门得分的一种打法。,,,,,,,,,,,,,,,,
attacking third,前场,in the attacking third,在前场,They showed a lot of courage to take risk in the attacking third.,他们敢于在前场冒险，反映出他们有很大的勇气。,The Scots were prepared to win the ball back in the attacking third.,苏格兰队准备在前场把球夺回来。,,,,,,,,,,,,,,
ausputzer,自由人,,,,,,,,,,,,,,,,,,,,
back,后卫,,,,,,,,,,,,,,,,,,,,
back kick,回传，向后传,,,,,,,,,,,,,,,,,,,,
back line,防守线,,,,,,,,,,,,,,,,,,,,
balance,平衡；攻守平衡,1. 平衡,FM 定义：,球员在有球和无球状态时面对袭来对手的稳定性,2. 攻守平衡,跟球员的位置有关；保持合适的距离,,,,,,,,,,,,,,,
balancing the defence,防守补位,,,,,,,,,,,,,,,,,,,,
ball control,控制球,,,,,,,,,,,,,,,,,,,,
ball handling,控制球，运球,,,,,,,,,,,,,,,,,,,,
ball out of play,死球,,,,,,,,,,,,,,,,,,,,
ball playing skill,踢球技术,,,,,,,,,,,,,,,,,,,,
ball watcher,观望队员，在比赛中不积极主动的球员,,,,,,,,,,,,,,,,,,,,
ban,禁止（某队员参赛），命令（某队员停赛）,AC Milan defender Mauro Tassotti received a record eight match ban from FIFA's disciplinary committee.,AC 米兰队后卫塔索蒂被国际足联纪律委员会判罚停赛八场，这样的重判是前所未有的。,,,,,,,,,,,,,,,,,,
banana kick,香蕉球,,,,,,,,,,,,,,,,,,,,
banana shot,香蕉式射门，弧线射门,banana shot with the outside of the foot,用脚外侧踢香蕉球；用外脚背踢香蕉球,The main objective of banana shot is deception -- to lure the goalkepper into the wrong way.,香蕉式射门的主要目的是迷惑守门员，把他的注意力引向错误的方向。,,,,,,,,,,,,,,,,
band,阵线,three band formation,三条阵线的阵型，比如 4-4-2,,,,,,,,,,,,,,,,,,
basic skills,基本功（基本技术）,,,,,,,,,,,,,,,,,,,,
basics,基本功,,,,,,,,,,,,,,,,,,,,
be hungry for goal,射门意识强,,,,,,,,,,,,,,,,,,,,
beat,1. 晃过，过人；2. 打败,1. 晃过，过人,to beat the opponents,晃过对手,Pele was able to beat three or even four men in a very small area.,贝利能在十分狭窄的地区晃过 3 名甚至 4 名防守队员。,A player in possession of the ball passes over the touch line in order to beat the opponent.,一个控制球的队员为了晃过对方球员越过边线。,2. 打败,Italy beat Nigeria 2:1.,意大利队 2:1 打败尼日利亚队。,,,,,,,,,,
beinschuss,穿裆过人,德语,,,,,,,,,,,,,,,,,,,
below one's best,没打出最好水平,,,,,,,,,,,,,,,,,,,,
bench,替补队员席,,,,,,,,,,,,,,,,,,,,
bicycle kick,倒钩球,to make a bicycle kick,踢倒钩球,,,,,,,,,,,,,,,,,,
blanket defence,密集防守；“毛毯式”防守,"The ""blanket"" defence is designed to assure numerical superiority in the vital area.",密集防守是为了保证在要害地区集中优势兵力而设置的。,,,,,,,,,,,,,,,,,,
blind side,反方向（球场的另一方）,He must constantly be on the alert for a tackle from the blind side.,他必须时刻警惕来自反方向（球场的另一方）的堵截。,,,,,,,,,,,,,,,,,,
block,堵截,to block the ball,堵截球,The centre half blocks the ball.,中卫堵截球。,,,,,,,,,,,,,,,,
body check,身体阻挡,,,,,,,,,,,,,,,,,,,,
body contact,身体接触,,,,,,,,,,,,,,,,,,,,
bombard,狂轰滥炸，频繁进攻,to bombard the goalmouth,在门前狂轰滥炸,The championship favourite Germans bombarded the Swedish goalmouth.,锦标赛热门队——德国队在瑞典队门前狂轰滥炸。,,,,,,,,,,,,,,,,
book,受到警告处分,[译注：book 的原意是（裁判）记下（运动员）的违纪行为。用于足球可译为受到警告处分，此词多用于被动语态。],Three players were booked during the match.,在这场比赛中 3 名队员受到警告处分。,Player No. 6 was booked for a foul tackle.,6 号队员因抢截犯规受到处分（黄牌警告）。,,,,,,,,,,,,,,,
boot,猛踢，大力射门,（注：通常指射门时用力踢球）,,,,,,,,,,,,,,,,,,,
bottom right-hand corner of the net,球网右下角,,,,,,,,,,,,,,,,,,,,
bounce,弹起，弹回,The ball bounced off the goal-post.,球触球门柱弹出。,The ball bounced in front of the goal.,球在球门前弹起。,,,,,,,,,,,,,,,,
bounce shot,弹射,,,,,,,,,,,,,,,,,,,,
boundary line,界线,,,,,,,,,,,,,,,,,,,,
box to box midfielder,全能中场,字面意思为覆盖范围在双方禁区之间的中场球员；特点是活动范围大，攻守兼顾,FM 定义：,不停的跑动让他在进攻和防守中都能发挥作用。进攻中能压倒前场策应锋线，后排插入禁区争抢落点，或者回撤靠远射威胁对方球门，防守中需要阻截对方攻击型中场，保护本队防线,通常平行站位的 4-4-2 阵型会设置一个 box to box midfielder,,,,,,,,,,,,,,,,
Brazilian formation,巴西阵式,,,,,,,,,,,,,,,,,,,,
breach of rules,违反规则,,,,,,,,,,,,,,,,,,,,
break through,突破,The forwards broke through the defensive line (the defence).,前锋突破了防线。,The Saudis broke through several times on the right flanks.,沙特队几次从右翼突破。,On several occasions they broke through the American defence on the flanks.,他们多次从侧翼突破了美国队的防线。,,,,,,,,,,,,,,
break up an attack,破坏对方的攻势,,,,,,,,,,,,,,,,,,,,
breakthrough,突破,to make a breakthrough,进行一次突破,,,,,,,,,,,,,,,,,,
brilliant performance,出色的表演，精彩的表演,,,,,,,,,,,,,,,,,,,,
build up,由守转攻的过程,,,,,,,,,,,,,,,,,,,,
build up an attack,组织进攻,to build up an attack on the right (left) side of the field,在球场右侧（左侧）组织进攻,The attack may also be built up on the right side of the field through long crossfield passess.,通过长传，转移也可以在球场右侧组织进攻。,They built up their attack quickly.,他们快速的组织进攻。,,,,,,,,,,,,,,
build-up,组合，集结兵力,The Bahrian players were very patient in their build-up.,巴林队员在组织进攻时表现出很大的耐心。,,,,,,,,,,,,,,,,,,
bully,争抢球（通常指双方队员在门前争抢球），门前混战,,,,,,,,,,,,,,,,,,,,
bursting,冲击,,,,,,,,,,,,,,,,,,,,
bye,轮空,,,,,,,,,,,,,,,,,,,,
CAF,非洲足球联合会,全称是 Confederation Africaine de Football,,,,,,,,,,,,,,,,,,,
call for the ball,要球,,,,,,,,,,,,,,,,,,,,
cap,国家队队员,,,,,,,,,,,,,,,,,,,,
capitalize on (upon),利用,capitalize on (upon) oppoent's mistake,利用对手的错误,capitalize on (upon) opportunity,利用机会,They capitalized on their opponents' miskake and won the game.,他们利用了对手的错误，赢得了这场比赛的胜利。,,,,,,,,,,,,,,
capocannoniere,最佳射手,（意大利语）,,,,,,,,,,,,,,,,,,,
captain,队长,,,,,,,,,,,,,,,,,,,,
carrilero,能攻善守的边路球员,（西班牙语）,类似 3-5-2 中的两个边路球员,,,,,,,,,,,,,,,,,,
carry,（守门员）持球行走,,,,,,,,,,,,,,,,,,,,
catenaccio,链式防守,直译是“链式的”，主要有一实一虚两层含义。起初说的是战术，指一种防线，基本特征是设自由人和人盯人防守；如果指战术体系，通常包含自由人，人盯人防守，左后卫进攻，专职防守型中场，组织者指挥和右边锋回防等链式防守专有角色战术集合,,,,,,,,,,,,,,,,,,,
caudillo,中前卫的一种,可以翻译成“领袖”“长官”，概括了阿根廷足球对理想 5 号的要求,一个硬朗，冷酷的人物，而且不只会蛮勇斗狠，能力和强硬都不能少,,,,,,,,,,,,,,,,,,
caution,警告,1. 作动词：,to caution a player,警告犯规队员,The player shall be cautioned.,这个队员应受到警告处分。,The referee cautioned the player for ungentlemanly conduct.,裁判员对这个队员的不正当行为提出警告。,2. 作名词：,administer a caution,提出警告,give ...... a caution,给......一次警告,merit a caution,应受到一次警告,receive a caution,受到一次警告,A player shall be sent off the field of play if he persists in misconduct after having received a caution.,如一个队员警告后仍坚持不正当行为，应将其罚出场。,,
center,中心，中心点；传中,（美国英语） = centre,1. 作动词：,to centre the ball,将球传中,The wing forward must be able to centre the ball precisely while running at top speed down the sideline.,边锋在高速向底线奔跑时，必须能够准确地将球传中给队友。（注：通俗的说法是下底传中）,2. 作名词：,to send a centre,踢一个传中球,"The wing forward broke in from the left, where he sent a low centre inside the penalty area.",边锋左路突破，低球传中入禁区。,,,,,,,,,
central circle,中圈,,,,,,,,,,,,,,,,,,,,
central midfielder,中场；中前卫,FM 的定义：,通常是勤恳的多面手，在进攻与防守时起到串联前后场的作用,,,,,,,,,,,,,,,,,,
central winger,内收边锋,,,,,,,,,,,,,,,,,,,,
centre,中心，中心点；传中,（美国英语） = center,1. 作动词：,to centre the ball,将球传中,The wing forward must be able to centre the ball precisely while running at top speed down the sideline.,边锋在高速向底线奔跑时，必须能够准确地将球传中给队友。（注：通俗的说法是下底传中）,2. 作名词：,to send a centre,踢一个传中球,"The wing forward broke in from the left, where he sent a low centre inside the penalty area.",边锋左路突破，低球传中入禁区。,,,,,,,,,
centre back,中后卫,,,,,,,,,,,,,,,,,,,,
centre circle,中圈,,,,,,,,,,,,,,,,,,,,
centre field,中场,,,,,,,,,,,,,,,,,,,,
centre forward,中锋,,,,,,,,,,,,,,,,,,,,
centre forward playing deep,拖后中锋,,,,,,,,,,,,,,,,,,,,
centre halfback,中卫,,,,,,,,,,,,,,,,,,,,
centre spot,中圈,,,,,,,,,,,,,,,,,,,,
CF,中锋的缩写,abbreviation for centre forward,,,,,,,,,,,,,,,,,,,
CFA,中国足球协会的缩写,abbreviation for Chinese Football Association,,,,,,,,,,,,,,,,,,,
challenge,争抢；拼抢,challenge for the ball,争球；抢球,,,,,,,,,,,,,,,,,,
champions,冠军队,the world champions,世界冠军队,the defending champions,卫冕冠军队（本届冠军队）,,,,,,,,,,,,,,,,
change position,换位,,,,,,,,,,,,,,,,,,,,
charge,冲撞,1. 作动词：,to charge an opponent,冲撞对手,He charges his opponent in a violent or dangerous manner.,他以粗暴的或危险的动作冲撞对方队员。（犯规动作）,charge each other shoulder against shoulder,肩并肩进行冲撞,2. 作名词：,shoulder charge,肩部冲撞,to meet charge with charge,冲撞对冲撞,to avoid a shoulder charge,避免肩部冲撞,knock the opponent off-balance by a well-timed shoulder charge,选择好的时机用肩部冲撞使对手失去平衡。,,,,
charge from behind,从后面冲撞,,,,,,,,,,,,,,,,,,,,
CHB,中卫的缩写,abbreviation for centre halfback,,,,,,,,,,,,,,,,,,,
cheer-leader,啦啦队长,,,,,,,,,,,,,,,,,,,,
cheering squad,啦啦队,,,,,,,,,,,,,,,,,,,,
chesting,胸部挡球,,,,,,,,,,,,,,,,,,,,
chesting-high ball,平胸球,,,,,,,,,,,,,,,,,,,,
chilena,代指倒钩球,,,,,,,,,,,,,,,,,,,,
chip,蹭球；挑射；吊射；搓射；勺子球,to chip a ball,蹭球,,,,,,,,,,,,,,,,,,
chip kick,蹭球；挑射；吊射；勺子球（踢过对方队员头顶的小高球）,to make a chip kick,蹭球,,,,,,,,,,,,,,,,,,
chip pass,蹭传；挑传（把球提过对方队员头顶传给队友的一种传球方法）,to make a chip pass with the full instep,用整个脚面进行蹭传,The chip pass offers a useful way of feeding the wing forward from the midfield.,蹭传是从中场把球传给边锋的一种有用的传球方法。,,,,,,,,,,,,,,,,
choice of ends and the kick-off,选择场区和开球权,"At the beginning of the game, choics of ends and the kick-off shall be decided by the toss of a coin. The team winning the toss shall have the option of choice of ends or the kick-off.",比赛开始前，两队可用投币方式来选择场区和开球权。胜者有选择场区或开球的优先权。,,,,,,,,,,,,,,,,,,
chorreo,痛击；一边倒,,,,,,,,,,,,,,,,,,,,
Christmas Tree,圣诞树阵型；4-3-2-1,,,,,,,,,,,,,,,,,,,,
clean sheet bouns,不失球奖金,,,,,,,,,,,,,,,,,,,,
clear,解除危险,（译注：将球踢出守区或译成通俗的说法——解围。）,Sansom of England clears the ball away from Brady and Stampleton of Ireland.,英格兰队的桑森破坏了爱尔兰队布雷迪和斯坦普顿的（传球）进攻，给英格兰队解了围。,to clear the ball upfield,将球打出守区，踢向前场,to clear a corner kick with a header,用头球解除了对方队员踢角球造成的危险,,,,,,,,,,,,,
clearance,将球踢出守区，解除危险（通俗的说法——解围）,hook volley clearance,用钩形脚法踢凌空球将球打出守区,overhead clearance,用倒钩球将球踢出守区,to make a powerful clearance kick,解除危险的一脚球（大脚解围）,,,,,,,,,,,,,,
close,封锁,这对边路来说最有效，原因很简单：如果你逼抢中场球员，他们的四周都是可以传球的开放空间；如果你紧逼对方的边路球员，他们一般只有把球带向中路或者向后回传。(《冠军联赛梦想》P133),,,,,,,,,,,,,,,,,,,
close contest,势均力敌的比赛，比分接近的比赛,,,,,,,,,,,,,,,,,,,,
close defence,密集防守，紧密防守,,,,,,,,,,,,,,,,,,,,
close down,逼抢；封锁；压迫,字面意思为封锁空间，压缩空间,,,,,,,,,,,,,,,,,,,
close encounter,势均力敌的比赛，比分接近的比赛,,,,,,,,,,,,,,,,,,,,
close game,势均力敌的比赛，比分接近的比赛,It was a close game.,这是一场势均力敌的比赛（比分接近的比赛）。,,,,,,,,,,,,,,,,,,
close marking,盯人防守,,,,,,,,,,,,,,,,,,,,
close out,搞定比赛,,,,,,,,,,,,,,,,,,,,
close up on an attacker,紧迫攻方队员,,,,,,,,,,,,,,,,,,,,
close-range shot,近射,,,,,,,,,,,,,,,,,,,,
club,俱乐部,a football club,足球俱乐部,matches between clubs,俱乐部之间的比赛,,,,,,,,,,,,,,,,
club team,俱乐部队,,,,,,,,,,,,,,,,,,,,
coach,教练,head coach,主教练,assistant coach,助理教练,the head coach of the Chinese football team,中国足球队主教练,,,,,,,,,,,,,,
collect the ball,接球,,,,,,,,,,,,,,,,,,,,
colourless football game,不精彩的足球比赛，没有特色的足球比赛或译为平淡无奇的足球比赛,,,,,,,,,,,,,,,,,,,,
combination,配合，短传配合,to use a wall pass combination,使用二过一配合,to beat the lone defender with combinations,使用短传配合打法晃过单个防守队员,,,,,,,,,,,,,,,,
combination passes,短传配合,to use combination passes,使用短传配合,,,,,,,,,,,,,,,,,,
combination play,配合打法；短传配合打法,to use the combination play,使用短传配合的打法,,,,,,,,,,,,,,,,,,
come from behind to win the game,反败为胜,,,,,,,,,,,,,,,,,,,,
comeon,压上,并不是每支球队都能贯穿全场的这么做，因为这对体力和意志的要求太高了，当对手是喜欢长传的球队时，这种办法未必奏效，对付这种球队最好是去争抢第二落点。而对阵热衷短传配合的球队，压上逼抢就显得尤为重要。(《冠军联赛梦想》P133),,,,,,,,,,,,,,,,,,,
commit an opponent,吸引住（牵制住）对手,（译注：commit 的愿意是使投入战斗，使承担义务。用于足球其含义通常为吸引住（牵制住）对手，迫使其投入战斗，进行堵截等动作。例如进攻队员使用假动作吸引住（牵制住）防守队员使其进行堵截，然后设法把他甩开。）,drawing and committing an opponent,吸引（牵制）对手,to provoke the defender into committing himself,使用动作刺激防守队员把他吸引住（牵制住）迫使其进行阻截。,,,,,,,,,,,,,,,
compact,阵型紧凑；紧凑,缩进球员的距离使得阵型紧凑,,,,,,,,,,,,,,,,,,,
composure,镇静，沉着,keep one's composure,沉得住气,lose one's composure,沉不住气,recover(regain) one's composure,恢复镇静,The team lost composure and enthusiasm whenever behind.,每当处于落后的情况时，这个队就很不冷静，缺乏积极性。,"Scotland, showing great composure, began to get the upper hand.",苏格兰队表现得沉着冷静，开始占据上风。,,,,,,,,,,
CONCACAF,北美，中美和加勒比地区足球联合会,全称是 Confederacion Norte-Centroamericana y del Caribe de Futbol,,,,,,,,,,,,,,,,,,,
concede a goal,失一球,（译注：concede a goal 用于足球主要是指被对方破门丢分，如果失去对球的控制要用 loss possession of the ball。）,In three games they scored 8 goals and conceded none.,在三场比赛中，该队共进了 8 球，未失一球。,Their morale was broken when they conceded the third goal.,该队丢失第三个球时，士气被瓦解了。,Spain socred eleven and did not concede a goal.,西班牙队共攻入 11 球，未失一球。,,,,,,,,,,,,,
Confederacion Norte-Centroamericana y del Caribe de Futbol,北美，中美和加勒比地区足球联合会（缩写为 CONCACAF）,,,,,,,,,,,,,,,,,,,,
Confederacion Sudamericana de Futbol,南美洲足球联合会（缩写为 CONMEBOL）,,,,,,,,,,,,,,,,,,,,
