en,cn,examples,,,,,,,,,,,
actual playing time,实际比赛时间,,,,,,,,,,,,
adjust one's position,调整位置,这是比较正规的用法。向……提出警告通常用 give sb. a acution. 或 caution sb.,The referee stops the game to administer the caution.,裁判员为了提出警告而暂停比赛。,,,,,,,,,
AFC,AFC 亚洲足球联合会的缩写,全称 abbreviation for Asian Football Confederation,,,,,,,,,,,
aggregate score,总分,,,,,,,,,,,,
aggressive play,凶狠积极或主动积极的打法,,,,,,,,,,,,
aggressive player,拼抢凶狠积极的队员，风格凶狠的队员,,,,,,,,,,,,
air ball,空中球,,,,,,,,,,,,
all-out attacking game,全攻型打法,,,,,,,,,,,,
amateur football player,业余足球运动员,,,,,,,,,,,,
angled shot,小角度射门,to make an angled shot,进行小角度射门,,,,,,,,,,
ankle pads,护踝,,,,,,,,,,,,
anticipate,预见，预料,to anticipate their moves,预见到（预料到）对方的行动,,,,,,,,,,
appeal,上诉，申诉,1. 作动词：,The team appealed against the decision.,这个队员对判决（决议）提出上诉。,2. 作名词：,to make an appeal / to lodge an appeal,提出上诉，提出申诉,Board of Appeal,上诉委员会,An appeal may be lodged with the Board of Appeal within a period of five days.,上诉可在 5 天内向上诉委员会提出。,"If the appeal is sustained, the fee shall be refunded to the Association making the appeal.",如果上诉被认可，手续费将归还上诉的协会。
